Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
12,Sam Howell,23,WAS,QB,17,17,4-13-0,388,612,63.4,3946,21,3.4,21,3.4,180,42.7,51,6.4,5.59,10.2,232.1,78.9,42.4,65,449,9.60,5.17,4.39,2,2,,HoweSa00
13,Derek Carr,32,NOR,QB,17,17,9-8-0,375,548,68.4,3878,25,4.6,8,1.5,185,46.8,58,7.1,7.33,10.3,228.1,97.7,56.5,31,218,5.35,6.32,6.56,0,1,,CarrDe02
14,Jalen Hurts,25,PHI,QB,17,17,11-6-0,352,538,65.4,3858,23,4.3,15,2.8,185,46.7,63,7.2,6.77,11.0,226.9,89.1,60.1,36,222,6.27,6.33,5.96,3,4,PB,HurtJa00
15,Lamar Jackson,26,BAL,QB,16,16,13-3-0,307,457,67.2,3678,24,5.3,7,1.5,167,48.2,80,8.0,8.41,12.0,229.9,102.7,64.7,37,218,7.49,7.00,7.34,1,0,PBAP-1AP MVP-1AP OPoY-4AP CPoY-9,JackLa00
16,Geno Smith,33,SEA,QB,15,15,8-7-0,323,499,64.7,3624,20,4.0,9,1.8,169,47.2,73,7.3,7.25,11.2,241.6,92.1,59.5,31,231,5.85,6.40,6.39,4,5,PB,SmitGe00
17,Gardner Minshew II,27,IND,QB,17,13,7-6-0,305,490,62.2,3305,15,3.1,9,1.8,147,41.2,75,6.7,6.53,10.8,194.4,84.6,59.6,34,187,6.49,5.95,5.75,2,2,PB,MinsGa00
18,Justin Herbert,25,LAC,QB,13,13,5-8-0,297,456,65.1,3134,20,4.4,7,1.5,150,46.2,60,6.9,7.06,10.6,241.1,93.2,64.1,29,233,5.98,5.98,6.16,1,1,,HerbJu00
19,Russell Wilson,35,DEN,QB,15,15,7-8-0,297,447,66.4,3070,26,5.8,8,1.8,135,43.3,60,6.9,7.23,10.3,204.7,98.0,50.7,45,258,9.15,5.72,6.04,4,4,,WilsRu00
20,Bryce Young,22,CAR,QB,16,16,2-14-0,315,527,59.8,2877,11,2.1,10,1.9,133,36.5,48,5.5,5.02,9.1,179.8,73.7,33.4,62,477,10.53,4.07,3.68,2,2,,YounBr01
21,Desmond Ridder,24,ATL,QB,15,13,6-7-0,249,388,64.2,2836,12,3.1,12,3.1,136,45.3,71,7.3,6.54,11.4,189.1,83.4,40.1,31,197,7.40,6.30,5.58,2,4,,RiddDe00
22,Justin Fields,24,CHI,QB,13,13,5-8-0,227,370,61.4,2562,16,4.3,9,2.4,121,38.4,58,6.9,6.69,11.3,197.1,86.3,46.1,44,285,10.63,5.50,5.29,1,1,,FielJu00
23,Joshua Dobbs,28,2TM,QB,13,12,3-9-0,262,417,62.8,2464,13,3.1,10,2.4,126,41.6,69,5.9,5.45,9.4,189.5,79.5,,30,217,6.71,5.03,4.60,1,1,,DobbJo00
23,Joshua Dobbs,28,ARI,QB,8,8,1-7-0,167,266,62.8,1569,8,3.0,5,1.9,82,42.0,69,5.9,5.65,9.4,196.1,81.2,,17,126,6.01,5.10,4.87,0,0,,DobbJo00
23,Joshua Dobbs,28,MIN,QB,5,4,2-2-0,95,151,62.9,895,5,3.3,5,3.3,44,40.9,29,5.9,5.10,9.4,179.0,76.4,,13,91,7.93,4.90,4.14,1,1,,DobbJo00
24,Kirk Cousins,35,MIN,QB,8,8,4-4-0,216,311,69.5,2331,18,5.8,5,1.6,112,46.6,62,7.5,7.93,10.8,291.4,103.8,63.2,17,110,5.18,6.77,7.18,0,0,,CousKi00
25,Joe Burrow,27,CIN,QB,10,10,5-5-0,244,365,66.8,2309,15,4.1,6,1.6,115,46.0,64,6.3,6.41,9.5,230.9,91.0,51.6,24,180,6.17,5.47,5.55,0,0,,BurrJo01
26,Zach Wilson,24,NYJ,QB,12,11,4-7-0,221,368,60.1,2271,8,2.2,7,1.9,104,36.5,68,6.2,5.75,10.3,189.3,77.2,30.6,46,340,11.11,4.66,4.29,3,2,,WilsZa00
